"TOA5","ESOLMET-CR1000","CR1000","23644","CR1000.Std.16","CPU:2021-05-21-ESOLMET-CR1000.CR1","25840","Tabla_diez_min"
"TIMESTAMP","RECORD","Batt_Volt_Min","I_glo_Avg","I_dir_Avg","I_dif_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","Volts","W/m2","W/m2","W/m2","°C","°C","°C","°C","%","%","%","%","m/s","m/s","m/s","m/s","grados","mbar","mm"
"","","Min","Avg","Avg","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Smp","Avg","Tot"
"2022-02-04 15:10:00",37320,13.12,733.4,949,53.81,29.87,30.28,29.43,0.25,23.76,24.7,22.59,0.47,1.734,4.7,0,1.016,152.1,876.552,0
"2022-02-04 15:20:00",37321,13.11,709.4,946,53.07,29.62,30.18,28.98,0.306,24.25,26.44,21.05,1.573,2.384,5.45,0,1.333,73.72,876.4539,0
"2022-02-04 15:30:00",37322,13.1,685.7,946,52.12,29.38,29.83,28.92,0.241,24.42,26.95,21.02,1.037,3.735,6.95,0.95,1.137,90.9,876.4044,0
"2022-02-04 15:40:00",37323,13.1,645.9,927,51.68,29.2,30.11,28.78,0.327,24.18,25.21,22.93,0.404,1.364,3.95,0,1.074,121.5,876.2992,0
"2022-02-04 15:50:00",37324,13.1,609.1,908,51.54,30.02,30.31,29.73,0.14,22.39,23.51,21.29,0.357,2.803,6.2,0,1.305,171,876.2901,0
"2022-02-04 16:00:00",37325,13.1,578.1,899,51.55,29.67,30.18,29.29,0.23,22.4,23.3,21.63,0.297,2.735,5.45,0,1.402,219.4,876.2078,0
"2022-02-04 16:10:00",37326,13.1,533.2,868,51.63,29.73,30.04,29.53,0.098,21.95,22.59,21.39,0.239,1.625,5.45,0,1.147,250.4,875.9228,0
"2022-02-04 16:20:00",37327,13.1,491.1,839,52.1,30.45,30.86,29.83,0.271,21.87,23.88,20.58,0.817,1.25,3.95,0,0.965,78.41,876.1508,0
"2022-02-04 16:30:00",37328,13.1,454.2,813,52.06,30.34,30.58,30.11,0.103,24.85,25.72,23.74,0.397,2.043,4.7,0,0.891,182.7,876.0204,0
"2022-02-04 16:40:00",37329,13.1,414.1,783.5,51.53,29.37,30.41,28.71,0.492,25.6,26.84,24.32,0.58,2.979,6.2,0.95,1.02,226.2,875.9885,0
"2022-02-04 16:50:00",37330,13.1,370.9,761.5,49,29.75,30.11,29.15,0.205,24.44,25.96,23.68,0.619,0.928,3.95,0,1,99.4,875.9792,0
"2022-02-04 17:00:00",37331,13.11,329.1,731.1,46.5,30.03,30.28,29.73,0.118,24.01,24.63,23.3,0.226,1.63,4.7,0,1.056,111.9,876.0121,0
"2022-02-04 17:10:00",37332,13.11,288.7,695.1,44.64,29.6,30.11,28.88,0.377,24.32,25.17,23.68,0.367,2.019,3.95,0,0.653,64.68,876.0698,0
"2022-02-04 17:20:00",37333,13.05,248.2,660.4,42.73,29.04,29.77,28.61,0.301,25.06,25.82,23.81,0.333,1.652,3.2,0,0.715,109.4,875.9885,0
"2022-02-04 17:30:00",37334,12.98,209.2,619.3,40.48,29.92,30.41,29.49,0.275,24.27,25.17,23.34,0.402,1.35,3.95,0,0.866,222.2,876.2488,0
"2022-02-04 17:40:00",37335,12.93,168.5,560.8,36.66,29.95,30.24,29.67,0.162,24.35,25.07,23.64,0.412,1.352,3.2,0,0.803,119.3,876.1486,0
"2022-02-04 17:50:00",37336,12.9,133.5,505.2,32.74,29.39,29.94,28.85,0.309,25.86,26.81,24.66,0.565,2.752,5.45,0,1.103,167.4,876.2917,0
"2022-02-04 18:00:00",37337,12.88,93.9,417,27.47,29.09,29.33,28.85,0.113,26.29,26.78,25.69,0.222,1.915,4.7,0,0.676,167.4,876.1332,0
"2022-02-04 18:10:00",37338,12.87,57.66,297.8,21,28.61,28.99,28.34,0.172,27.08,27.87,26.23,0.42,2.412,4.7,0,0.691,189.1,876.1202,0
"2022-02-04 18:20:00",37339,12.86,21.62,78.23,12.7,28.16,28.48,27.83,0.148,27.57,28,27.02,0.198,2.033,3.2,0,0.626,183,876.2798,0
"2022-02-04 18:30:00",37340,12.86,7.202,0.524,5.332,27.76,28,27.56,0.092,27.8,28.52,27.15,0.288,1.304,2.45,0,0.724,137.8,876.4249,0
"2022-02-04 18:40:00",37341,12.85,0.622,0,0.208,27.45,27.69,27.29,0.086,28.51,28.89,28.07,0.165,0.336,1.7,0,0.503,145.6,876.291,0
