"TOA5","ESOLMET-IP","CR1000","23644","CR1000.Std.32.05","CPU:2021-12-16-ESOLMET-CR1000.CR1","4034","Tabla_un_min"
"TIMESTAMP","RECORD","I_glo_Avg","I_dir_Avg","I_dif_Avg","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Avg","RH_Max","RH_Min","RH_Std","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WindDir","CS106_PB_Avg","Rain_mm_Tot"
"TS","RN","W/m2","W/m2","W/m2","Â°C","Â°C","Â°C","Â°C","%","%","%","%","m/s","m/s","m/s","m/s","grados","mbar","mm"
"","","Avg","Avg","Avg","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Smp","Avg","Tot"
"2022-05-17 11:45:00",25583,0,746.2,"NAN",31.11,31.27,30.99,0.067,29.1,29.26,28.96,0.058,1.693,3.2,0,0.764,11.61,878.3877,0
"2022-05-17 11:46:00",25584,0,745.3,"NAN",31.3,31.44,31.2,0.054,28.72,29.13,28.51,0.14,1.023,1.7,0,0.515,136.9,878.5479,0
"2022-05-17 11:47:00",25585,0,744.9,"NAN",31.43,31.51,31.34,0.035,28.52,28.72,28.31,0.104,2.468,4.7,0,1.075,94.1,878.6263,0
"2022-05-17 11:48:00",25586,0,746.5,"NAN",31.21,31.51,30.96,0.158,28.27,28.75,27.8,0.193,5.262,6.95,3.2,0.817,"NAN",878.2245,0
"2022-05-17 11:49:00",25587,0,749.5,"NAN",30.74,30.99,30.42,0.169,28.62,29.23,28.28,0.298,4.75,6.2,3.2,0.748,"NAN",878.3832,0
"2022-05-17 11:50:00",25588,0,748.3,"NAN",30.27,30.52,30.11,0.093,29.51,29.88,28.79,0.318,4.012,5.45,1.7,1.089,"NAN",878.3788,0
"2022-05-17 11:51:00",25589,0,748.4,"NAN",30.2,30.31,30.14,0.036,29.42,29.77,29.09,0.193,5.35,6.95,3.95,0.572,"NAN",878.2181,0
"2022-05-17 11:52:00",25590,0,749,"NAN",30.07,30.21,29.87,0.084,29.5,29.91,29.23,0.149,5.075,6.2,3.95,0.521,165.9,878.2232,0
"2022-05-17 11:53:00",25591,0,756.7,"NAN",29.75,29.9,29.6,0.069,30.12,30.63,29.6,0.287,3.5,4.7,2.45,0.534,156.2,878.2208,0
"2022-05-17 11:54:00",25592,0,760,"NAN",29.7,29.8,29.6,0.043,30.04,30.39,29.84,0.089,1.78,3.95,0,0.899,191,878.2191,0
"2022-05-17 11:55:00",25593,0,759.5,"NAN",29.75,29.87,29.67,0.05,30.09,30.25,29.88,0.071,0.913,1.7,0,0.517,49,878.2239,0
"2022-05-17 11:56:00",25594,0,760.4,"NAN",29.9,30.08,29.77,0.063,29.81,30.18,29.37,0.275,2.125,3.2,0.95,0.587,130.6,878.221,0
"2022-05-17 11:57:00",25595,0,760.4,"NAN",30.1,30.28,29.91,0.102,29.86,30.01,29.71,0.078,1.963,2.45,0.95,0.451,"NAN",877.8288,0
"2022-05-17 11:58:00",25596,0,760,"NAN",30.43,30.55,30.25,0.082,29.34,29.88,28.68,0.355,1.634,2.45,0,0.545,"NAN",878.3956,0
